0,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1263,2022-06-06 11:12:35,ac1951,40.452155,-75.145322,172.842462,231.69237,0.0,RPA5815,0.0,0.0,0.0,3450.0,6096.0,6271.26,1654513954.8625,1654513954.9905
1264,2022-06-06 19:11:30,ac1d80,34.715121,-115.300403,187.658566,220.221112,-0.65024,N88WR,0.0,0.0,0.0,2374.0,4998.72,5212.08,1654542689.548,1654542689.993
1265,2022-06-06 14:39:15,ac212d,37.98488,-110.846259,198.101349,247.51588,0.0,SWA3039,0.0,0.0,0.0,6507.0,9185.91,9593.58,1654526354.6715,1654526354.744
1266,2022-06-06 21:45:50,ac2154,37.874817,-113.583885,210.226393,201.964956,0.0,SWA1430,0.0,0.0,0.0,NaN,9753.6,10111.74,1654551949.865,1654551949.865
1267,2022-06-06 05:49:35,ac2154,38.097382,-110.711566,202.023934,244.736901,0.0,SWA995,0.0,0.0,0.0,1465.0,10972.8,11407.14,1654494574.7685,1654494574.9175
1268,2022-06-06 03:30:55,ac249e,32.713577,-113.296621,241.387738,102.223127,0.0,SWA3025,0.0,0.0,0.0,3374.0,10397.49,10927.08,1654486254.5805,1654486254.8755
1269,2022-06-06 19:53:25,ac26cf,40.848267,-73.458344,220.809169,51.040118,0.0,RPA5742,0.0,0.0,0.0,2116.0,6515.1,6743.7,1654545204.8695,1654545204.9975
1270,2022-06-06 13:06:45,ac2706,42.407087,-80.991115,195.043489,278.10932,0.0,UAL2364,0.0,0.0,0.0,2736.0,10092.69,10355.58,1654520804.895,1654520804.9835
1271,2022-06-06 02:43:00,ac5fad,51.072739,-127.216187,236.354408,302.005383,0.0,DAL1630,0.0,0.0,0.0,6623.0,8519.16,8462.01,1654483374.412,1654483376.853
1272,2022-06-06 21:07:45,ac8009,35.299026,-118.609392,187.016135,275.504428,0.0,SWA333,0.0,0.0,0.0,5716.0,4865.37,5074.92,1654549664.685,1654549664.949
1273,2022-06-06 17:42:05,aca948,50.882767,-127.271712,229.866914,311.627142,0.0,ASA85,0.0,0.0,0.0,1547.0,8557.26,8549.64,1654537314.379,1654537314.379
1274,2022-06-06 17:05:00,acb599,34.761383,-117.203718,163.509857,222.653126,0.0,NKS264,0.0,1.0,1.0,NaN,4549.14,4754.88,1654535099.971,1654535099.984
1275,2022-06-06 14:10:45,acbe34,51.133949,-127.13685,220.783944,303.22898,0.0,ASA83,0.0,0.0,0.0,6647.0,8587.74,8580.12,1654524644.6965,1654524644.8585
1276,2022-06-06 21:00:50,acbe34,49.567147,-124.543094,197.183104,139.868332,0.0,ASA88,0.0,0.0,0.0,7233.0,6720.84,8724.9,1654549249.581,1654549249.949
1277,2022-06-06 03:22:40,acc02b,36.074027,-117.30366,189.640136,255.397541,-0.32512,SWA1956,0.0,0.0,0.0,7210.0,5745.48,5966.46,1654485759.658,1654485759.685
1278,2022-06-06 14:36:40,acc02b,34.548557,-119.041729,222.641949,139.467159,0.0,SWA2990,0.0,0.0,0.0,3650.0,7894.32,8313.42,1654526199.817,1654526199.977
1279,2022-06-06 02:59:15,acc3bd,36.227247,-121.447539,177.352993,316.647096,-0.32512,ASA209,0.0,0.0,0.0,1313.0,4994.91,6758.94,1654484354.6625,1654484354.8315
1280,2022-06-06 19:14:35,acc5fb,35.17245,-116.313171,168.61728,55.798536,0.0,DAL2569,0.0,0.0,0.0,NaN,4872.99,5097.78,1654542804.234,1654542812.337
1281,2022-06-06 17:51:40,acdfa3,49.722153,-124.743468,199.275845,139.665,0.0,ASA102,0.0,0.0,0.0,3453.0,7124.7,7162.8,1654537899.527,1654537899.743
1282,2022-06-06 07:08:45,acdfa3,50.980473,-126.626129,219.048225,308.550034,0.0,ASA81,0.0,0.0,0.0,3536.0,8625.84,8591.55,1654499205.435,1654499211.275
1283,2022-06-06 04:17:40,acdfa3,50.301086,-125.979791,224.080374,133.198839,0.0,ASA96,0.0,0.0,0.0,7241.0,9311.64,9570.72,1654489059.524,1654489059.938
1284,2022-06-06 20:43:10,ace7aa,34.613205,-118.104653,195.228617,301.70143,0.0,SWA585,0.0,0.0,0.0,7322.0,6652.26,7509.51,1654548189.959,1654548189.959
1285,2022-06-06 02:35:35,acea99,41.345284,-79.206604,247.468954,97.962571,0.0,AAL357,0.0,0.0,0.0,6541.0,8892.54,9132.57,1654482934.904,1654482934.956
1286,2022-06-06 14:11:30,aceb61,35.494219,-120.657115,220.686882,315.746483,-0.32512,SWA3053,0.0,0.0,0.0,7316.0,8237.22,9768.84,1654524689.743,1654524689.755
1287,2022-06-06 07:43:10,aced21,50.235031,-125.490321,221.369384,138.366461,0.0,ASA252,0.0,0.0,0.0,4132.0,9685.02,9646.92,1654501389.649,1654501389.976
1288,2022-06-06 18:39:35,acf846,51.024046,-126.720352,232.195498,310.895749,0.0,ASA750,0.0,0.0,0.0,6635.0,7764.78,7783.83,1654540643.65,1654540643.65
1289,2022-06-06 01:46:10,acf849,42.328033,-81.352418,207.57162,272.368548,0.0,AAL1766,0.0,0.0,0.0,1147.0,9144.0,9342.12,1654479969.607,1654479969.813
1290,2022-06-06 13:18:20,ad0919,35.12178,-119.668187,204.442143,142.507347,0.0,SWA3079,0.0,0.0,0.0,3302.0,5631.18,5920.74,1654521499.92,1654521499.994
1291,2022-06-06 02:50:30,ad0f29,34.503754,-119.004187,227.606444,139.537773,0.0,SWA1257,0.0,0.0,0.0,6374.0,7338.06,7650.48,1654483829.902,1654483829.902
1292,2022-06-06 04:49:00,ad0f29,35.397763,-120.539772,209.5297,315.0,0.0,SWA319,0.0,0.0,0.0,1001.0,7330.44,8545.83,1654490939.462,1654490939.717
1293,2022-06-06 00:50:40,ad0f29,35.360641,-120.429039,205.007064,318.715289,-0.97536,SWA3694,0.0,0.0,0.0,2067.0,7315.2,8496.3,1654476639.846,1654476639.97
1294,2022-06-06 12:26:40,ad1c11,42.289682,-81.181555,223.628754,278.775921,0.0,AAL660,0.0,0.0,0.0,1130.0,7924.8,8122.92,1654518399.848,1654518399.908
1295,2022-06-06 06:13:40,ad1cde,35.125479,-94.523621,248.408809,81.280253,0.0,JBU2124,0.0,0.0,0.0,2042.0,10652.76,10980.42,1654496019.832,1654496019.832
1296,2022-06-06 08:56:25,ad2445,41.480003,-96.518482,258.87781,80.290336,0.0,JBU24,0.0,0.0,0.0,1072.0,10058.4,10408.92,1654505784.7565,1654505784.825
1297,2022-06-06 16:45:55,ad24ab,41.811401,-80.446243,209.006765,214.637541,0.0,AAL2824,0.0,0.0,0.0,2747.0,9753.6,10024.11,1654533954.841,1654533954.9915
1298,2022-06-06 21:41:45,ad4c27,35.187927,-116.293478,177.85659,55.731626,0.0,NKS1720,0.0,0.0,0.0,NaN,4594.86,4804.41,1654551655.749,1654551655.749
1299,2022-06-06 22:04:15,ad5398,41.925499,-80.374479,218.343149,212.757153,0.0,AAL2302,0.0,0.0,0.0,1705.0,8500.11,8755.38,1654553054.752,1654553054.985
1300,2022-06-06 07:50:15,ad694c,35.480288,-118.635339,181.494502,262.064379,0.0,SWA1540,0.0,0.0,0.0,7330.0,4998.72,5231.13,1654501814.7765,1654501814.989
1301,2022-06-06 11:14:10,ad6d03,37.090589,-77.772336,229.031601,49.304469,0.0,SWA185,0.0,0.0,0.0,3107.0,10668.0,11010.9,1654514049.929,1654514049.929
1302,2022-06-06 14:10:30,ad7828,37.36129,-121.951407,208.527577,175.437437,0.0,SWA2143,0.0,0.0,0.0,3506.0,10149.84,10462.26,1654524629.913,1654524629.953
1303,2022-06-06 10:57:05,ad84de,42.402924,-80.971795,220.71806,275.684329,0.0,AAL2911,0.0,0.0,0.0,1730.0,7924.8,8115.3,1654513024.652,1654513024.989
